delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
0.25,adult,logreg,0,0.8442,0.8367,0.0076,0.1115,4,0.0862,5,0.53
0.25,adult,logreg,1,0.8442,0.8367,0.0076,0.1086,4,0.0862,5,0.53
0.25,adult,logreg,2,0.8442,0.8367,0.0076,0.1081,4,0.0862,5,0.53
0.25,adult,logreg,3,0.8442,0.8367,0.0076,0.1084,4,0.0862,5,0.53
0.25,adult,logreg,4,0.8442,0.8367,0.0076,0.1107,4,0.0862,5,0.53
0.25,adult,rf,0,0.8469,0.8431,0.0038,0.0618,8,0.0513,8,0.28
0.25,adult,rf,1,0.8473,0.8418,0.0056,0.0679,6,0.0586,7,0.4
0.25,adult,rf,2,0.8469,0.8431,0.0038,0.0546,8,0.0465,10,0.24
0.25,adult,rf,3,0.8453,0.8431,0.0022,0.0693,7,0.0573,7,0.34
0.25,adult,rf,4,0.8469,0.844,0.0029,0.0685,7,0.0571,7,0.38
0.25,adult,hgb,0,0.8647,0.8598,0.0049,0.1069,4,0.0743,5,0.55
0.25,adult,hgb,1,0.8682,0.8569,0.0113,0.0991,5,0.068,5,0.45
0.25,adult,hgb,2,0.8642,0.8571,0.0071,0.1085,4,0.0747,5,0.59
0.25,adult,hgb,3,0.8656,0.8562,0.0093,0.0963,6,0.0633,5,0.47
0.25,adult,hgb,4,0.8647,0.8567,0.008,0.0956,6,0.07,5,0.49
0.25,credit_g,logreg,0,0.7767,0.7467,0.03,0.0902,4,0.085,2,0.58
0.25,credit_g,logreg,1,0.7767,0.7467,0.03,0.0938,3,0.085,2,0.58
0.25,credit_g,logreg,2,0.7767,0.7467,0.03,0.0977,2,0.085,2,0.58
0.25,credit_g,logreg,3,0.7767,0.7467,0.03,0.1011,2,0.085,2,0.58
0.25,credit_g,logreg,4,0.7767,0.7467,0.03,0.0938,3,0.085,2,0.58
0.25,credit_g,rf,0,0.7533,0.7433,0.01,0.0864,2,0.0853,2,0.64
0.25,credit_g,rf,1,0.7567,0.7567,0.0,0.1012,2,0.1028,2,0.77
0.25,credit_g,rf,2,0.7467,0.74,0.0067,0.0909,3,0.0953,2,0.72
0.25,credit_g,rf,3,0.7367,0.75,-0.0133,0.0982,3,0.0959,2,0.67
0.25,credit_g,rf,4,0.7567,0.7333,0.0233,0.0886,2,0.0952,2,0.67
0.25,credit_g,hgb,0,0.7433,0.72,0.0233,0.1494,2,0.1337,2,0.76
0.25,credit_g,hgb,1,0.7667,0.7533,0.0133,0.1331,3,0.1132,2,0.73
0.25,credit_g,hgb,2,0.76,0.75,0.01,0.1064,3,0.1069,2,0.71
0.25,credit_g,hgb,3,0.7667,0.7533,0.0133,0.1371,3,0.1267,2,0.73
0.25,credit_g,hgb,4,0.76,0.7467,0.0133,0.1175,3,0.1018,3,0.62
0.25,bank_marketing,logreg,0,0.9013,0.9029,-0.0016,0.116,4,0.1122,4,0.67
0.25,bank_marketing,logreg,1,0.9013,0.9029,-0.0016,0.1118,3,0.1122,4,0.67
0.25,bank_marketing,logreg,2,0.9013,0.9029,-0.0016,0.1149,3,0.1122,4,0.67
0.25,bank_marketing,logreg,3,0.9013,0.9029,-0.0016,0.1131,3,0.1122,4,0.67
0.25,bank_marketing,logreg,4,0.9013,0.9029,-0.0016,0.1135,3,0.1122,4,0.67
0.25,bank_marketing,rf,0,0.9,0.9009,-0.0009,0.0712,6,0.0689,5,0.54
0.25,bank_marketing,rf,1,0.8982,0.8998,-0.0016,0.0619,6,0.0636,6,0.52
0.25,bank_marketing,rf,2,0.8987,0.9,-0.0013,0.075,6,0.0723,5,0.55
0.25,bank_marketing,rf,3,0.8993,0.9,-0.0007,0.0704,6,0.0744,5,0.62
0.25,bank_marketing,rf,4,0.8989,0.9016,-0.0027,0.0677,6,0.0717,6,0.56
0.25,bank_marketing,hgb,0,0.9053,0.9031,0.0022,0.0938,3,0.0545,5,0.33
0.25,bank_marketing,hgb,1,0.9096,0.9058,0.0038,0.0869,4,0.0521,6,0.32
0.25,bank_marketing,hgb,2,0.9084,0.9076,0.0009,0.0891,3,0.0572,5,0.44
0.25,bank_marketing,hgb,3,0.908,0.9033,0.0047,0.0937,3,0.0644,5,0.42
0.25,bank_marketing,hgb,4,0.9109,0.9062,0.0047,0.0913,3,0.0611,5,0.42
0.25,ccdefault,logreg,0,0.8091,0.8002,0.0089,0.1737,2,0.1603,2,0.82
0.25,ccdefault,logreg,1,0.8091,0.8002,0.0089,0.1713,2,0.1603,2,0.82
0.25,ccdefault,logreg,2,0.8091,0.8002,0.0089,0.1746,2,0.1603,2,0.82
0.25,ccdefault,logreg,3,0.8091,0.8002,0.0089,0.1686,2,0.1603,2,0.82
0.25,ccdefault,logreg,4,0.8091,0.8002,0.0089,0.1731,2,0.1603,2,0.82
0.25,ccdefault,rf,0,0.8164,0.8138,0.0027,0.1253,2,0.1209,2,0.77
0.25,ccdefault,rf,1,0.8167,0.8164,0.0002,0.1223,2,0.1174,3,0.74
0.25,ccdefault,rf,2,0.8156,0.8164,-0.0009,0.1247,2,0.122,3,0.77
0.25,ccdefault,rf,3,0.8167,0.814,0.0027,0.1257,2,0.1151,3,0.75
0.25,ccdefault,rf,4,0.818,0.8147,0.0033,0.1306,2,0.1239,3,0.77
0.25,ccdefault,hgb,0,0.8138,0.812,0.0018,0.133,2,0.1551,2,0.81
0.25,ccdefault,hgb,1,0.8138,0.8151,-0.0013,0.1451,2,0.1432,2,0.73
0.25,ccdefault,hgb,2,0.8144,0.8144,0.0,0.1315,2,0.1472,2,0.78
0.25,ccdefault,hgb,3,0.8151,0.8109,0.0042,0.1415,2,0.1539,2,0.8
0.25,ccdefault,hgb,4,0.8184,0.8131,0.0053,0.1378,2,0.152,2,0.68
0.25,ccdefault,mlp,0,0.8164,0.812,0.0044,0.1391,2,0.1436,1,0.79
0.25,ccdefault,mlp,1,0.8184,0.8091,0.0093,0.14,2,0.135,1,0.76
0.25,ccdefault,mlp,2,0.8151,0.8087,0.0064,0.1462,2,0.1453,1,0.77
0.25,ccdefault,mlp,3,0.8173,0.8138,0.0036,0.1404,2,0.1378,1,0.75
0.25,ccdefault,mlp,4,0.8156,0.8118,0.0038,0.1397,2,0.1515,1,0.82
0.25,electricity,logreg,0,0.7636,0.7516,0.012,0.1385,3,0.1253,4,0.88
0.25,electricity,logreg,1,0.7636,0.7516,0.012,0.1385,3,0.1253,4,0.88
0.25,electricity,logreg,2,0.7636,0.7516,0.012,0.137,3,0.1253,4,0.88
0.25,electricity,logreg,3,0.7636,0.7516,0.012,0.138,3,0.1253,4,0.88
0.25,electricity,logreg,4,0.7636,0.7516,0.012,0.1372,3,0.1253,4,0.88
0.25,electricity,rf,0,0.8173,0.8056,0.0118,0.0867,5,0.0983,3,0.66
