dataset,model,method,variant,source,seed_a,seed_b,top3,top5,spearman,cosine,sign5
adult,rf,treeshap,clean,oracle,0,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,rf,treeshap,clean,oracle,1,2,1.0,1.0,1.0,0.9999999999999998,1.0
adult,rf,treeshap,clean,oracle,1,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,rf,treeshap,clean,oracle,1,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,rf,treeshap,clean,oracle,2,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,rf,treeshap,clean,oracle,2,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,rf,treeshap,clean,oracle,3,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,rf,treeshap,spur,real,0,1,1.0,1.0,0.9964285714285712,0.9979875670954379,1.0
adult,rf,treeshap,spur,real,0,2,1.0,1.0,0.9892857142857142,0.9971854651226578,1.0
adult,rf,treeshap,spur,real,0,3,1.0,1.0,0.9928571428571428,0.9984863764574937,1.0
adult,rf,treeshap,spur,real,0,4,1.0,1.0,0.982142857142857,0.9992410631836529,1.0
adult,rf,treeshap,spur,real,1,2,1.0,1.0,0.9857142857142854,0.9987763998386414,1.0
adult,rf,treeshap,spur,real,1,3,1.0,1.0,0.9964285714285712,0.9985475812290412,1.0
adult,rf,treeshap,spur,real,1,4,1.0,1.0,0.9857142857142854,0.996835783508746,1.0
adult,rf,treeshap,spur,real,2,3,1.0,1.0,0.9749999999999999,0.9987328487554531,1.0
adult,rf,treeshap,spur,real,2,4,1.0,1.0,0.9571428571428571,0.9949656377135526,1.0
adult,rf,treeshap,spur,real,3,4,1.0,1.0,0.9892857142857142,0.9967216743474003,1.0
adult,rf,treeshap,spur,random,0,1,0.0,0.4,-0.10357142857142855,0.639897738711813,1.0
adult,rf,treeshap,spur,random,0,2,0.0,0.2,-0.05357142857142857,0.8159805416598157,1.0
adult,rf,treeshap,spur,random,0,3,0.0,0.4,-0.1464285714285714,0.7987779954145025,1.0
