dataset,model,method,seed,variant,truth_type,source,ap,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10,target_rank,target_top1,target_top3,target_top5,target_salience_share
adult,rf,lime,0,spur,spurious_feature,permuted,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.01615077001436662
adult,rf,lime,0,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,rf,lime,0,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,lime,1,spur,spurious_feature,real,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,3.0,0.0,1.0,1.0,0.1482219637586373
adult,rf,lime,1,spur,spurious_feature,random,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.057258073494380037
adult,rf,lime,1,spur,spurious_feature,permuted,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,3.0,0.0,1.0,1.0,0.14822196375863733
adult,rf,lime,1,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,rf,lime,1,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,lime,2,spur,spurious_feature,real,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,3.0,0.0,1.0,1.0,0.15411832258496627
adult,rf,lime,2,spur,spurious_feature,random,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.08114669562064662
adult,rf,lime,2,spur,spurious_feature,permuted,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.00550484714507424
adult,rf,lime,2,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,rf,lime,2,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,lime,3,spur,spurious_feature,real,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,3.0,0.0,1.0,1.0,0.1432755748711269
adult,rf,lime,3,spur,spurious_feature,random,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0487425156908058
adult,rf,lime,3,spur,spurious_feature,permuted,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.015939243704885624
