ds,model,method,sigma,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std
bank_marketing,logreg,lime,0.25,0.6866817599999999,0.019137047290739475,0.76912,0.012232415951070302,0.66902072,0.0122343166164686,0.73136064,0.007107319998986962,0.89648,0.0063144279234147995
bank_marketing,logreg,lime,0.5,0.6693184584738956,0.025262567369961297,0.7715039357429718,0.00849545337535166,0.6378243983935743,0.0075299972884902994,0.6918777718875502,0.007684863571049168,0.8808693975903615,0.008910423468769612
bank_marketing,logreg,linshap,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
bank_marketing,logreg,linshap,0.01,0.9980002000000001,0.00023567869016947419,0.99864,0.00032863353450311077,0.9994116,3.8457118976820415e-05,0.99996262,1.6543881044168919e-06,1.0,0.0
bank_marketing,logreg,linshap,0.05,0.9879814950069052,0.0017056837403231677,0.9862978352128768,0.001320561636771517,0.9958373106385581,0.0001668506749814653,0.9988808807004805,2.577981378025782e-05,1.0,0.0
bank_marketing,logreg,linshap,0.1,0.9733550437857096,0.0021499324994595586,0.9702284614421022,0.0021698858131121235,0.9901443454324793,0.0005064989143354074,0.9956436612096763,0.00020480009608102103,0.9992786362275548,0.0003037661158466524
bank_marketing,logreg,linshap,0.25,0.9208570581312605,0.004136970837273205,0.9340863716237301,0.0031032798045461866,0.9651031964225416,0.001320095646756083,0.9749913039961848,0.0009761277643456309,0.9922125516713922,0.0007351312240968732
bank_marketing,logreg,linshap,0.5,0.8580195306627395,0.00564069101317703,0.8982197571478057,0.0022421952230315305,0.907865024309479,0.004497625157256342,0.9106845938708688,0.005908390090034694,0.9666426987556236,0.002366079270881886
bank_marketing,mlp,ig,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
bank_marketing,mlp,ig,0.01,0.992065992012012,0.0010892475091363876,0.9927985985985985,0.002345060578946533,0.9987664734134134,8.947379706406693e-05,0.9999031017817817,1.5960289837876694e-05,1.0,0.0
bank_marketing,mlp,ig,0.05,0.9688443355409266,0.006125007233832907,0.9679801169937624,0.007760784000222553,0.9927118454832714,0.0003132552953789294,0.9978810191761737,0.00010804504241693106,0.9999599198396794,8.962196302604045e-05
bank_marketing,mlp,ig,0.1,0.938892573593985,0.004456590708186612,0.9403573612880743,0.00586436602541903,0.9826228561312546,0.0012920408991809447,0.9921557040769635,0.00046064359440201144,0.9989550481252086,0.0006269320005968874
bank_marketing,mlp,ig,0.25,0.8646666007671427,0.009231774566324898,0.8781991803798916,0.01475126616918593,0.9405151748847589,0.0018450756303783585,0.957485683798064,0.0019700325806115892,0.9903744508533103,0.0009097859277866932
bank_marketing,mlp,ig,0.5,0.7667475981466415,0.017134842052720412,0.8056093101327744,0.015365680934164922,0.8479989909509295,0.00765517319053218,0.8571409112194628,0.010677881966776574,0.9615921277452001,0.005420867792650381
bank_marketing,mlp,lime,0.0,0.7146815999999999,0.07350820593852093,0.7692,0.055183330816470276,0.7368034,0.03119555214770209,0.7828106,0.046467621827461766,0.9112,0.01803330252615982
bank_marketing,mlp,lime,0.01,0.714414,0.06656843698270226,0.76928,0.05941205264927311,0.6907660800000001,0.050815111988777494,0.77033392,0.05861544201003689,0.9041600000000001,0.0250017599380524
bank_marketing,mlp,lime,0.05,0.7127535141935484,0.06870679846722243,0.7687703225806451,0.0586385034014806,0.6862537161290322,0.05314402907564117,0.7673079567741936,0.06021482666525549,0.9036774193548387,0.02444066483986828
bank_marketing,mlp,lime,0.1,0.70961368,0.07088850614840181,0.768,0.05878231026422829,0.6881674400000001,0.05006666042116243,0.7643916,0.061248714865211634,0.9027200000000001,0.024426870450387272
bank_marketing,mlp,lime,0.25,0.6986224789791423,0.0673182479308744,0.7621813291877186,0.0608735940445139,0.6823536689027077,0.04795183748455223,0.7527628287912942,0.06131616111676169,0.9031119885995595,0.021836598414840265
bank_marketing,mlp,lime,0.5,0.6774578786937047,0.07119063313672833,0.7658039421316494,0.06199231139674601,0.6518224160999244,0.05185129020578253,0.7041450718508818,0.07389048219871483,0.88431599870713,0.027721128114362382
bank_marketing,rf,lime,0.0,0.8953436,0.018647186337354023,0.8672000000000001,0.010059821071967382,0.7496748,0.016079642570654355,0.9407650000000001,0.013262015928960402,0.9512,0.00944457516249411
bank_marketing,rf,lime,0.01,0.89734344,0.021247924953933774,0.8668800000000001,0.008552894246978601,0.74219064,0.0069744076026570425,0.9400592,0.012746234800912753,0.95136,0.008027951170753328
